道路编号,设备编号,设备名称,部门编码,部门名称,坐标,启用时间,x坐标,y坐标
6.00042E+11,4.20503E+19,伍家-城东大道中南路口西向东,4.20503E+11,宜昌支队伍家大队,"111.33116,30.67718",2018/12/1,111.33116,30.67718
6.00042E+11,4.20503E+19,伍家-城东大道东站路口西向东,4.20503E+11,宜昌支队伍家大队,"111.37834,30.65551",2018/12/1,111.37834,30.65551
6.00042E+11,4.20503E+19,伍家-城东大道桔城路口东向西,4.20503E+11,宜昌支队伍家大队,"111.36912,30.65669",2015/7/27,111.36912,30.65669
7.00971E+11,4.20503E+19,伍家-中南路岳湾路口东向西,4.20503E+11,宜昌支队伍家大队,"111.33419,30.68486",2017/1/16,111.33419,30.68486
7.00961E+11,4.20503E+19,伍家-松林路岳湾路口东向西,4.20503E+11,宜昌支队伍家大队,"111.34022,30.68405",2017/1/16,111.34022,30.68405
7.00961E+11,4.20503E+19,伍家-松林路岳湾路口西向东,4.20503E+11,宜昌支队伍家大队,"111.34022,30.68405",2017/1/16,111.34022,30.68405
6.00042E+11,4.20503E+19,伍家-城东大道中南路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3316,30.67734",2018/12/1,111.3316,30.67734
6.00042E+11,4.20503E+19,伍家-城东大道中南路口北向南,4.20503E+11,宜昌支队伍家大队,"111.3316,30.67734",2018/12/1,111.3316,30.67734
6.00042E+11,4.20503E+19,伍家-城东大道东艳路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3543,30.6641",2018/12/1,111.3543,30.6641
6.00042E+11,4.20503E+19,伍家-城东大道东艳路口北向南,4.20503E+11,宜昌支队伍家大队,"111.3543,30.6641",2018/12/1,111.3543,30.6641
6.00042E+11,4.20503E+19,伍家-城东大道合益路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3446,30.671",2018/12/1,111.3446,30.671
6.00042E+11,4.20503E+19,伍家-城东大道合益路口北向南,4.20503E+11,宜昌支队伍家大队,"111.3446,30.671",2018/12/1,111.3446,30.671
6.00042E+11,4.20503E+19,伍家-城东大道桔城路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3693,30.6568",2015/7/27,111.3693,30.6568
